Timestamp,Equity,Profile,Risk,LevCap,Mode,DD,WinRate20
1704073980.0,9991.556998017437,SCALE,0.01,3.0,NORMAL,0.0017171330278062294,0.0
1704074040.0,9991.426150995438,SCALE,0.01,3.0,NORMAL,0.0017302062995978099,0.0
1704074100.0,9991.852287918438,SCALE,0.01,3.0,NORMAL,0.0016876298333573332,0.0
1704074160.0,9992.163196945938,SCALE,0.01,3.0,NORMAL,0.0016565660906992955,0.0
1704074220.0,9992.548959900438,SCALE,0.01,3.0,NORMAL,0.0016180234943585687,0.0
1704074280.0,9992.548665199938,SCALE,0.01,3.0,NORMAL,0.001618052938664364,0.0
1704074340.0,9992.925881839938,SCALE,0.01,3.0,NORMAL,0.0015803642271929688,0.0
1704074400.0,9993.209089020438,SCALE,0.01,3.0,NORMAL,0.001552068249283491,0.0
1704074460.0,9993.390919228937,SCALE,0.01,3.0,NORMAL,0.001533901112582081,0.0
1704074520.0,9993.585421558937,SCALE,0.01,3.0,NORMAL,0.0015144678707296629,0.0
1704074580.0,9993.803205228438,SCALE,0.01,3.0,NORMAL,0.0014927085287159752,0.0
1704074640.0,9994.392606228437,SCALE,0.01,3.0,NORMAL,0.0014338199170419088,0.0
1704074700.0,9994.098789829937,SCALE,0.01,3.0,NORMAL,0.0014631758899614658,0.0
1704074760.0,9994.517853940937,SCALE,0.01,3.0,NORMAL,0.001421306087061163,0.0
1704074820.0,9994.471585962438,SCALE,0.01,3.0,NORMAL,0.0014259288430775428,0.0
1704074880.0,9994.313331793937,SCALE,0.01,3.0,NORMAL,0.00144174043531207,0.0
1704074940.0,9994.830531171438,SCALE,0.01,3.0,NORMAL,0.0013900656785679907,0.0
1704075000.0,9994.830531171438,SCALE,0.01,3.0,NORMAL,0.0013900656785679907,0.0
1704075060.0,9994.489562692937,SCALE,0.01,3.0,NORMAL,0.0014241327404214948,0.0
1704075120.0,9994.766286462438,SCALE,0.01,3.0,NORMAL,0.0013964845372404187,0.0
1704075180.0,9994.765991761938,SCALE,0.01,3.0,NORMAL,0.001396513981546214,0.0
1704075240.0,9994.603611786439,SCALE,0.01,3.0,NORMAL,0.001412737794062418,0.0
1704075300.0,9994.666972393938,SCALE,0.01,3.0,NORMAL,0.0014064072683075573,0.0
1704075360.0,9994.603611786439,SCALE,0.01,3.0,NORMAL,0.001412737794062418,0.0
1704075420.0,9995.355687462437,SCALE,0.01,3.0,NORMAL,0.0013375959255663523,0.0
1704075480.0,9995.153228218938,SCALE,0.01,3.0,NORMAL,0.00135782416367633,0.0
1704075540.0,9995.211873618438,SCALE,0.01,3.0,NORMAL,0.0013519647468147366,0.0
1704075600.0,9994.681118017937,SCALE,0.01,3.0,NORMAL,0.0014049939416273913,0.0
1704075660.0,9994.682296819938,SCALE,0.01,3.0,NORMAL,0.001404876164404029,0.0
1704075720.0,9994.177474863438,SCALE,0.01,3.0,NORMAL,0.0014553142603028948,0.0
1704075780.0,9994.527579057438,SCALE,0.01,3.0,NORMAL,0.0014203344249684691,0.0
1704075840.0,9994.916878417938,SCALE,0.01,3.0,NORMAL,0.0013814384969576558,0.0
1704075900.0,9994.916878417938,SCALE,0.01,3.0,NORMAL,0.0013814384969576558,0.0
1704075960.0,9994.916583717437,SCALE,0.01,3.0,NORMAL,0.0013814679412636327,0.0
1704076020.0,9994.916583717437,SCALE,0.01,3.0,NORMAL,0.0013814679412636327,0.0
1704076080.0,9994.916583717437,SCALE,0.01,3.0,NORMAL,0.0013814679412636327,0.0
1704076140.0,9994.916583717437,SCALE,0.01,3.0,NORMAL,0.0013814679412636327,0.0
1704076200.0,9994.203408507437,SCALE,0.01,3.0,NORMAL,0.0014527231613892875,0.0
1704076260.0,9993.967353406937,SCALE,0.01,3.0,NORMAL,0.0014763080503648184,0.0
1704076320.0,9993.326379819438,SCALE,0.01,3.0,NORMAL,0.0015403494155603042,0.0
1704076380.0,9993.326379819438,SCALE,0.01,3.0,NORMAL,0.0015403494155603042,0.0
1704076440.0,9993.141307905438,SCALE,0.01,3.0,NORMAL,0.0015588404396260059,0.0
1704076500.0,9993.141602605938,SCALE,0.01,3.0,NORMAL,0.0015588109953202107,0.0
1704076560.0,9993.141602605938,SCALE,0.01,3.0,NORMAL,0.0015588109953202107,0.0
1704076620.0,9993.797605918937,SCALE,0.01,3.0,NORMAL,0.0014932679705269916,0.0
1704076680.0,9993.475498272437,SCALE,0.01,3.0,NORMAL,0.0015254505968068804,0.0
1704076740.0,9994.140637300938,SCALE,0.01,3.0,NORMAL,0.0014589947985325581,0.0
1704076800.0,9994.529052559938,SCALE,0.01,3.0,NORMAL,0.001420187203439312,0.0
1704076860.0,9995.212757719937,SCALE,0.01,3.0,NORMAL,0.0013518764138973512,0.0
1704076920.0,9995.299989067938,SCALE,0.01,3.0,NORMAL,0.001343160899369449,0.0
1704076980.0,9995.219241130937,SCALE,0.01,3.0,NORMAL,0.0013512286391689492,0.0
1704077040.0,9995.218946430437,SCALE,0.01,3.0,NORMAL,0.0013512580834747444,0.0
1704077100.0,9995.218946430437,SCALE,0.01,3.0,NORMAL,0.0013512580834747444,0.0
