Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
4346,1701661680.0,8794.30,8748.75,45.55,0.03179262,BAR
4347,1701661740.0,8794.30,8748.75,45.55,0.03179262,BAR
4348,1701661800.0,8794.06,8748.75,45.31,0.03179262,BAR
4349,1701661860.0,8793.66,8748.75,44.91,0.03179262,BAR
4350,1701661920.0,8793.79,8748.75,45.04,0.03179262,BAR
4351,1701661980.0,8793.49,8748.75,44.74,0.03179262,BAR
4352,1701662040.0,8793.38,8748.75,44.63,0.03179262,BAR
4353,1701662100.0,8793.45,8748.75,44.70,0.03179262,BAR
4354,1701662160.0,8793.50,8748.75,44.75,0.03179262,BAR
4355,1701662220.0,8793.75,8748.75,45.00,0.03179262,BAR
4356,1701662280.0,8793.19,8748.75,44.44,0.03179262,BAR
4357,1701662340.0,8793.02,8748.75,44.27,0.03179262,BAR
4358,1701662400.0,8793.28,8748.75,44.53,0.03179262,BAR
4359,1701662460.0,8793.38,8748.75,44.63,0.03179262,BAR
4360,1701662520.0,8793.88,8748.75,45.13,0.03179262,BAR
4361,1701662580.0,8793.45,8748.75,44.70,0.03179262,BAR
4362,1701662640.0,8793.75,8748.75,45.00,0.03179262,BAR
4363,1701662700.0,8793.45,8748.75,44.70,0.03179262,BAR
4364,1701662760.0,8793.66,8748.75,44.91,0.03179262,BAR
4365,1701662820.0,8793.89,8748.75,45.14,0.03179262,BAR
4366,1701662880.0,8793.66,8748.75,44.91,0.03179262,BAR
4367,1701662940.0,8793.78,8748.75,45.03,0.03179262,BAR
4368,1701663000.0,8795.42,8748.75,46.67,0.03179262,BAR
4369,1701663060.0,8795.83,8748.75,47.08,0.03179262,BAR
4370,1701663120.0,8795.89,8748.75,47.14,0.03179262,BAR
4371,1701663180.0,8795.49,8748.75,46.74,0.03179262,BAR
4372,1701663240.0,8795.19,8748.75,46.44,0.03179262,BAR
4373,1701663300.0,8794.65,8748.75,45.90,0.03179262,BAR
4374,1701663360.0,8794.30,8748.75,45.55,0.03179262,BAR
4375,1701663420.0,8793.42,8748.75,44.67,0.03179262,BAR
4376,1701663480.0,8793.36,8748.75,44.61,0.03179262,BAR
4377,1701663540.0,8793.37,8748.75,44.62,0.03179262,BAR
4378,1701663600.0,8793.19,8748.75,44.44,0.03179262,BAR
4379,1701663660.0,8793.02,8748.75,44.27,0.03179262,BAR
4380,1701663720.0,8792.77,8748.75,44.02,0.03179262,BAR
4381,1701663780.0,8792.77,8748.75,44.02,0.03179262,BAR
4382,1701663840.0,8792.81,8748.75,44.06,0.03179262,BAR
4383,1701663900.0,8792.71,8748.75,43.96,0.03179262,BAR
4384,1701663960.0,8792.71,8748.75,43.96,0.03179262,BAR
4385,1701664020.0,8793.09,8748.75,44.34,0.03179262,BAR
4386,1701664080.0,8792.74,8748.75,43.99,0.03179262,BAR
4387,1701664140.0,8793.03,8748.75,44.28,0.03179262,BAR
4388,1701664200.0,8792.90,8748.75,44.15,0.03179262,BAR
4389,1701664260.0,8793.10,8748.75,44.35,0.03179262,BAR
4390,1701664320.0,8792.71,8748.75,43.96,0.03179262,BAR
4391,1701664380.0,8792.71,8748.75,43.96,0.03179262,BAR
4392,1701664440.0,8793.09,8748.75,44.34,0.03179262,BAR
4393,1701664500.0,8793.14,8748.75,44.39,0.03179262,BAR
4394,1701664560.0,8794.17,8748.75,45.42,0.03179262,BAR
4395,1701664620.0,8794.33,8748.75,45.58,0.03179262,BAR
4396,1701664680.0,8795.06,8748.75,46.31,0.03179262,BAR
4397,1701664740.0,8795.56,8748.75,46.81,0.03179262,BAR
4398,1701664800.0,8795.29,8748.75,46.54,0.03179262,BAR
4399,1701664860.0,8796.66,8748.75,47.91,0.03179262,BAR
4400,1701664920.0,8797.15,8748.75,48.40,0.03179262,BAR
4401,1701664980.0,8798.11,8748.75,49.36,0.03179262,BAR
4402,1701665040.0,8797.53,8748.75,48.78,0.03179262,BAR
4403,1701665100.0,8798.18,8748.75,49.43,0.03179262,BAR
4404,1701665160.0,8798.56,8748.75,49.81,0.03179262,BAR
4405,1701665220.0,8797.92,8748.75,49.17,0.03179262,BAR
4406,1701665280.0,8797.45,8748.75,48.70,0.03179262,BAR
4407,1701665340.0,8797.16,8748.75,48.41,0.03179262,BAR
4408,1701665400.0,8797.45,8748.75,48.70,0.03179262,BAR
4409,1701665460.0,8796.92,8748.75,48.17,0.03179262,BAR
4410,1701665520.0,8797.54,8748.75,48.79,0.03179262,BAR
4411,1701665580.0,8798.11,8748.75,49.36,0.03179262,BAR
4412,1701665640.0,8798.11,8748.75,49.36,0.03179262,BAR
4413,1701665700.0,8797.27,8748.75,48.52,0.03179262,BAR
4414,1701665760.0,10046.15,10046.15,0.00,0.00000000,BAR
4415,1701665820.0,10046.15,10046.15,0.00,0.00000000,BAR
4416,1701665880.0,10046.15,10046.15,0.00,0.00000000,BAR
4417,1701665940.0,10046.15,10046.15,0.00,0.00000000,BAR
4418,1701666000.0,10046.15,10046.15,0.00,0.00000000,BAR
4419,1701666120.0,10046.15,10046.15,0.00,0.00000000,BAR
4420,1701666180.0,10046.15,10046.15,0.00,0.00000000,BAR
4421,1701666360.0,10046.15,10046.15,0.00,0.00000000,BAR
4422,1701666540.0,10046.15,10046.15,0.00,0.00000000,BAR
4423,1701668100.0,10046.15,10046.15,0.00,0.00000000,BAR
4424,1701668160.0,10046.15,10046.15,0.00,0.00000000,BAR
4425,1701668220.0,10046.15,10046.15,0.00,0.00000000,BAR
4426,1701668400.0,10046.15,10046.15,0.00,0.00000000,BAR
4427,1701668700.0,10046.15,10046.15,0.00,0.00000000,BAR
4428,1701668760.0,10046.15,10046.15,0.00,0.00000000,BAR
4429,1701669000.0,10046.15,10046.15,0.00,0.00000000,BAR
4430,1701669060.0,10046.15,10046.15,0.00,0.00000000,BAR
4431,1701669120.0,10046.15,10046.15,0.00,0.00000000,BAR
4432,1701669180.0,10046.15,10046.15,0.00,0.00000000,BAR
4433,1701669240.0,10046.15,10046.15,0.00,0.00000000,BAR
4434,1701669300.0,10046.15,10046.15,0.00,0.00000000,BAR
4435,1701669360.0,10046.15,10046.15,0.00,0.00000000,BAR
4436,1701669420.0,10046.15,10046.15,0.00,0.00000000,BAR
4437,1701669480.0,10046.15,10046.15,0.00,0.00000000,BAR
4438,1701669540.0,10046.15,10046.15,0.00,0.00000000,BAR
4439,1701669600.0,10046.15,10046.15,0.00,0.00000000,BAR
4440,1701669660.0,10046.15,10046.15,0.00,0.00000000,BAR
4441,1701669780.0,10046.15,10046.15,0.00,0.00000000,BAR
4442,1701669840.0,10046.15,10046.15,0.00,0.00000000,BAR
4443,1701669900.0,10046.15,10046.15,0.00,0.00000000,BAR
4444,1701669960.0,10046.15,10046.15,0.00,0.00000000,BAR
4445,1701670020.0,10046.15,10046.15,0.00,0.00000000,BAR
4446,1701670080.0,10046.15,10046.15,0.00,0.00000000,BAR
4447,1701670140.0,10046.15,10046.15,0.00,0.00000000,BAR
4448,1701670200.0,10046.15,10046.15,0.00,0.00000000,BAR
4449,1701670260.0,10046.15,10046.15,0.00,0.00000000,BAR
4450,1701670320.0,10046.15,10046.15,0.00,0.00000000,BAR
4451,1701670380.0,10046.15,10046.15,0.00,0.00000000,BAR
4452,1701670440.0,10046.15,10046.15,0.00,0.00000000,BAR
4453,1701670500.0,10046.15,10046.15,0.00,0.00000000,BAR
4454,1701670560.0,10046.15,10046.15,0.00,0.00000000,BAR
4455,1701670620.0,10046.15,10046.15,0.00,0.00000000,BAR
4456,1701670800.0,10046.15,10046.15,0.00,0.00000000,BAR
4457,1701670860.0,10046.15,10046.15,0.00,0.00000000,BAR
4458,1701670920.0,10046.15,10046.15,0.00,0.00000000,BAR
4459,1701670980.0,10046.15,10046.15,0.00,0.00000000,BAR
4460,1701671220.0,10046.15,10046.15,0.00,0.00000000,BAR
4461,1701671280.0,10046.15,10046.15,0.00,0.00000000,BAR
4462,1701671580.0,10046.15,10046.15,0.00,0.00000000,BAR
4463,1701671640.0,10046.15,10046.15,0.00,0.00000000,BAR
4464,1701671700.0,10046.15,10046.15,0.00,0.00000000,BAR
4465,1701671760.0,10046.15,10046.15,0.00,0.00000000,BAR
4466,1701671820.0,10046.15,10046.15,0.00,0.00000000,BAR
4467,1701671880.0,10046.15,10046.15,0.00,0.00000000,BAR
4468,1701671940.0,10046.15,10046.15,0.00,0.00000000,BAR
4469,1701672000.0,10046.15,10046.15,0.00,0.00000000,BAR
4470,1701672060.0,10046.15,10046.15,0.00,0.00000000,BAR
4471,1701672120.0,10046.15,10046.15,0.00,0.00000000,BAR
4472,1701672180.0,10046.15,10046.15,0.00,0.00000000,BAR
4473,1701672240.0,10046.15,10046.15,0.00,0.00000000,BAR
4474,1701672300.0,10046.15,10046.15,0.00,0.00000000,BAR
4475,1701672360.0,10046.15,10046.15,0.00,0.00000000,BAR
4476,1701672480.0,10046.15,10046.15,0.00,0.00000000,BAR
4477,1701672540.0,10046.15,10046.15,0.00,0.00000000,BAR
4478,1701672600.0,10046.15,10046.15,0.00,0.00000000,BAR
4479,1701672660.0,10046.15,10046.15,0.00,0.00000000,BAR
4480,1701672720.0,10046.15,10046.15,0.00,0.00000000,BAR
4481,1701672780.0,10046.15,10046.15,0.00,0.00000000,BAR
4482,1701672840.0,10046.15,10046.15,0.00,0.00000000,BAR
4483,1701672900.0,10046.15,10046.15,0.00,0.00000000,BAR
4484,1701673020.0,10046.15,10046.15,0.00,0.00000000,BAR
4485,1701673080.0,10046.15,10046.15,0.00,0.00000000,BAR
4486,1701673140.0,10046.15,10046.15,0.00,0.00000000,BAR
4487,1701673200.0,10046.15,10046.15,0.00,0.00000000,BAR
4488,1701673260.0,10046.15,10046.15,0.00,0.00000000,BAR
4489,1701673320.0,10046.15,10046.15,0.00,0.00000000,BAR
4490,1701673380.0,10046.15,10046.15,0.00,0.00000000,BAR
4491,1701673440.0,10046.15,10046.15,0.00,0.00000000,BAR
4492,1701673500.0,10046.15,10046.15,0.00,0.00000000,BAR
4493,1701673560.0,10046.15,10046.15,0.00,0.00000000,BAR
4494,1701673620.0,10046.15,10046.15,0.00,0.00000000,BAR
4495,1701673680.0,10046.15,10046.15,0.00,0.00000000,BAR
4496,1701673740.0,10046.15,10046.15,0.00,0.00000000,BAR
4497,1701673800.0,10046.15,10046.15,0.00,0.00000000,BAR
4498,1701673860.0,10046.15,10046.15,0.00,0.00000000,BAR
4499,1701673920.0,10046.15,10046.15,0.00,0.00000000,BAR
4500,1701673980.0,10046.15,10046.15,0.00,0.00000000,BAR
4501,1701674040.0,10046.15,10046.15,0.00,0.00000000,BAR
4502,1701674100.0,10046.15,10046.15,0.00,0.00000000,BAR
4503,1701674160.0,10046.15,10046.15,0.00,0.00000000,BAR
4504,1701674220.0,10046.15,10046.15,0.00,0.00000000,BAR
4505,1701674280.0,10046.15,10046.15,0.00,0.00000000,BAR
4506,1701674340.0,10046.15,10046.15,0.00,0.00000000,BAR
4507,1701674400.0,10046.15,10046.15,0.00,0.00000000,BAR
4508,1701674460.0,10046.15,10046.15,0.00,0.00000000,BAR
