Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
449,1704394200.0,30.00,30.00,0.00,0.00000000,BAR
450,1704394260.0,30.00,30.00,0.00,0.00000000,BAR
451,1704394320.0,30.00,30.00,0.00,0.00000000,BAR
452,1704394380.0,30.00,30.00,0.00,0.00000000,BAR
453,1704394440.0,30.00,30.00,0.00,0.00000000,BAR
454,1704394500.0,30.00,30.00,0.00,0.00000000,BAR
455,1704394560.0,30.00,30.00,0.00,0.00000000,BAR
456,1704394620.0,30.00,30.00,0.00,0.00000000,BAR
457,1704394680.0,30.00,30.00,0.00,0.00000000,BAR
458,1704394740.0,30.00,30.00,0.00,0.00000000,BAR
459,1704394800.0,30.00,30.00,0.00,0.00000000,BAR
460,1704394860.0,30.00,30.00,0.00,0.00000000,BAR
461,1704394920.0,30.00,30.00,0.00,0.00000000,BAR
462,1704394980.0,30.00,30.00,0.00,0.00000000,BAR
463,1704395040.0,30.00,30.00,0.00,0.00000000,BAR
464,1704395100.0,30.00,30.00,0.00,0.00000000,BAR
465,1704395160.0,30.00,30.00,0.00,0.00000000,BAR
466,1704395220.0,30.00,30.00,0.00,0.00000000,BAR
467,1704395280.0,30.00,30.00,0.00,0.00000000,BAR
468,1704395340.0,30.00,30.00,0.00,0.00000000,BAR
469,1704395400.0,30.00,30.00,0.00,0.00000000,BAR
470,1704395460.0,30.00,30.00,0.00,0.00000000,BAR
471,1704395520.0,30.00,30.00,0.00,0.00000000,BAR
472,1704395580.0,30.00,30.00,0.00,0.00000000,BAR
473,1704395640.0,30.00,30.00,0.00,0.00000000,BAR
474,1704395700.0,30.00,30.00,0.00,0.00000000,BAR
475,1704395760.0,30.00,30.00,0.00,0.00000000,BAR
476,1704395820.0,30.00,30.00,0.00,0.00000000,BAR
477,1704395880.0,30.00,30.00,0.00,0.00000000,BAR
478,1704395940.0,30.00,30.00,0.00,0.00000000,BAR
479,1704396000.0,30.00,30.00,0.00,0.00000000,BAR
480,1704396060.0,30.00,30.00,0.00,0.00000000,BAR
481,1704396120.0,30.00,30.00,0.00,0.00000000,BAR
482,1704396180.0,30.00,30.00,0.00,0.00000000,BAR
483,1704396240.0,30.00,30.00,0.00,0.00000000,BAR
484,1704396300.0,30.00,30.00,0.00,0.00000000,BAR
485,1704396360.0,30.00,30.00,0.00,0.00000000,BAR
486,1704396420.0,30.00,30.00,0.00,0.00000000,BAR
487,1704396480.0,30.00,30.00,0.00,0.00000000,BAR
488,1704396540.0,30.00,30.00,0.00,0.00000000,BAR
489,1704396600.0,30.00,30.00,0.00,0.00000000,BAR
490,1704396660.0,30.00,30.00,0.00,0.00000000,BAR
491,1704396720.0,30.00,30.00,0.00,0.00000000,BAR
492,1704396780.0,30.00,30.00,0.00,0.00000000,BAR
493,1704396840.0,30.00,30.00,0.00,0.00000000,BAR
494,1704396900.0,30.00,30.00,0.00,0.00000000,BAR
495,1704396960.0,30.00,30.00,0.00,0.00000000,BAR
496,1704397020.0,30.00,30.00,0.00,0.00000000,BAR
497,1704397080.0,30.00,30.00,0.00,0.00000000,BAR
498,1704397140.0,30.00,30.00,0.00,0.00000000,BAR
499,1704397200.0,30.00,30.00,0.00,0.00000000,BAR
500,1704397260.0,30.00,30.00,0.00,0.00000000,BAR
501,1704397320.0,30.00,30.00,0.00,0.00000000,BAR
502,1704397380.0,30.00,30.00,0.00,0.00000000,BAR
503,1704397440.0,30.00,30.00,0.00,0.00000000,BAR
504,1704397500.0,30.00,30.00,0.00,0.00000000,BAR
505,1704397560.0,30.00,30.00,0.00,0.00000000,BAR
506,1704397620.0,30.00,30.00,0.00,0.00000000,BAR
507,1704397680.0,30.00,30.00,0.00,0.00000000,BAR
508,1704397740.0,30.00,30.00,0.00,0.00000000,BAR
509,1704397800.0,30.00,30.00,0.00,0.00000000,BAR
510,1704397860.0,30.00,30.00,0.00,0.00000000,BAR
511,1704397920.0,30.00,30.00,0.00,0.00000000,BAR
512,1704397980.0,30.00,30.00,0.00,0.00000000,BAR
513,1704398040.0,30.00,30.00,0.00,0.00000000,BAR
514,1704398100.0,30.00,30.00,0.00,0.00000000,BAR
515,1704398160.0,30.00,30.00,0.00,0.00000000,BAR
516,1704398220.0,30.00,30.00,0.00,0.00000000,BAR
517,1704398280.0,30.00,30.00,0.00,0.00000000,BAR
518,1704398340.0,30.00,30.00,0.00,0.00000000,BAR
519,1704398400.0,30.00,30.00,0.00,0.00000000,BAR
520,1704398460.0,30.00,30.00,0.00,0.00000000,BAR
521,1704398520.0,30.00,30.00,0.00,0.00000000,BAR
522,1704398580.0,30.00,30.00,0.00,0.00000000,BAR
523,1704398640.0,30.00,30.00,0.00,0.00000000,BAR
524,1704398700.0,30.00,30.00,0.00,0.00000000,BAR
525,1704398760.0,30.00,30.00,0.00,0.00000000,BAR
526,1704398820.0,30.00,30.00,0.00,0.00000000,BAR
527,1704398880.0,30.00,30.00,0.00,0.00000000,BAR
528,1704398940.0,30.00,30.00,0.00,0.00000000,BAR
529,1704399000.0,30.00,30.00,0.00,0.00000000,BAR
530,1704399060.0,30.00,30.00,0.00,0.00000000,BAR
531,1704399120.0,30.00,30.00,0.00,0.00000000,BAR
